dataset,reasoning,cue_count,n,shortcut_count,shortcut_rate,avg_rule_held_count
math500,off,1,46,26,0.5652173913043478,1.6521739130434783
math500,off,2,46,23,0.5,1.326086956521739
math500,off,3,46,21,0.45652173913043476,1.326086956521739
math500,off,4,46,26,0.5652173913043478,1.5
math500,off,5,46,26,0.5652173913043478,1.3043478260869565
math500,off,6,46,26,0.5652173913043478,1.5217391304347827
math500,off,7,46,23,0.5,1.2391304347826086
math500,off,8,46,22,0.4782608695652174,1.1956521739130435
math500,off,9,46,20,0.43478260869565216,1.2826086956521738
math500,off,10,46,10,0.21739130434782608,0.6521739130434783
math500,on,1,46,1,0.021739130434782608,0.06521739130434782
math500,on,2,46,0,0.0,0.043478260869565216
math500,on,3,46,1,0.021739130434782608,0.06521739130434782
math500,on,4,46,0,0.0,0.08695652173913043
math500,on,5,46,0,0.0,0.021739130434782608
math500,on,6,46,0,0.0,0.06521739130434782
math500,on,7,46,0,0.0,0.021739130434782608
math500,on,8,46,0,0.0,0.043478260869565216
math500,on,9,46,0,0.0,0.08695652173913043
math500,on,10,46,0,0.0,0.043478260869565216
